Id,OverallQual,TotalBsmtSF,GrLivArea,FullBath,KitchenQual,GarageCars,Antiquity,SalePrice
636,6,1440,3395,2,1.0,0,12,200000
637,2,264,800,1,1.0,0,59,60000
638,5,811,1387,2,1.61,1,55,93000
639,5,796,796,1,1.61,0,58,85000
640,8,1520,1567,2,3.14,3,0,264561
641,8,1518,1518,1,3.14,2,4,274000
642,7,1057,1929,2,1.61,2,6,226000
643,8,1952,2704,2,3.14,2,14,345000
644,5,780,1620,2,1.61,2,38,152000
645,9,1766,1766,2,3.14,3,0,370878
646,6,981,981,1,1.61,2,36,143250
647,5,0,1048,1,1.61,2,58,98300
648,6,1094,1094,1,1.61,2,55,155000
649,6,756,1839,1,1.61,2,44,155000
650,4,630,630,1,1.61,0,37,84500
651,7,813,1665,2,1.61,2,1,205950
652,4,755,1510,1,1.61,1,59,108000
653,7,880,1716,2,1.61,2,13,191000
654,6,756,1469,1,1.61,1,13,135000
655,8,2109,2113,2,1.61,3,13,350000
656,6,525,1092,1,1.61,1,39,88000
657,5,1053,1053,1,1.61,1,2,145500
658,7,776,1502,1,1.61,1,8,149000
659,6,912,1458,1,1.61,1,60,97500
660,5,1486,1486,1,1.61,2,10,167000
661,7,793,1935,2,1.61,2,31,197900
663,6,1392,1392,1,1.61,2,41,110000
664,4,1138,1181,2,1.61,2,36,137500
665,8,2077,2097,1,3.14,3,0,423000
666,8,1406,1936,2,1.61,2,6,230500
667,6,1021,2380,2,1.61,2,28,129000
668,6,1408,1679,2,1.61,2,10,193500
669,5,1188,1437,1,1.61,2,19,168000
670,4,700,1180,1,1.0,1,56,137500
671,6,738,1476,2,1.61,2,4,173500
672,6,672,1369,2,1.61,1,59,103600
673,6,1208,1208,1,1.61,2,29,165000
674,6,1477,1839,2,1.61,2,3,257500
675,6,1136,1136,1,1.61,1,43,140000
676,6,855,1441,2,1.61,2,31,148500
677,4,1095,1774,2,1.61,3,56,87000
678,5,768,792,1,1.61,1,3,109500
679,8,2046,2046,2,1.61,3,1,372500
680,5,988,988,1,1.61,2,46,128500
681,6,923,923,2,1.61,1,30,143000
682,5,793,1520,1,1.61,1,9,159434
683,6,1291,1291,1,1.61,2,11,173000
684,9,1626,1668,2,1.61,3,5,285000
685,7,1195,1839,2,1.61,2,12,221000
686,7,1190,2090,2,1.61,2,23,207500
687,7,874,1761,3,1.61,2,0,227875
688,7,551,1102,2,1.61,2,3,148800
689,8,1419,1419,2,1.61,2,0,392000
690,6,1362,1362,2,1.61,2,1,194700
691,6,848,848,1,1.61,2,4,141000
692,10,2444,4316,3,3.14,3,12,755000
694,5,1073,1073,1,1.61,1,38,108480
695,5,927,1539,1,1.61,2,59,141500
696,6,1112,1137,2,1.61,2,19,176000
697,5,616,616,1,1.61,1,56,89000
698,5,980,1148,1,1.61,1,54,123500
699,5,894,894,1,1.61,1,1,138500
700,7,1391,1391,2,1.61,2,4,196000
701,8,1800,1800,2,1.61,3,4,312500
702,7,1164,1164,1,1.61,2,37,140000
703,8,1234,2576,2,3.14,3,0,361919
704,5,360,1812,2,1.61,2,14,140000
705,7,1473,1484,2,1.61,2,5,213000
706,4,0,1092,2,1.0,0,60,55000
708,8,1324,1324,2,1.61,2,3,254000
709,7,728,1456,2,1.61,2,0,179540
710,5,876,904,1,1.61,1,42,109900
711,3,270,729,1,1.61,0,5,52000
712,4,859,1178,1,1.61,1,60,102776
713,8,1228,1228,2,1.61,2,19,189000
714,4,960,960,1,1.61,2,36,129000
715,6,725,1479,2,1.61,2,5,130500
716,6,1064,1350,2,1.61,2,35,165000
717,7,718,2554,1,1.61,2,9,159500
718,5,1176,1178,1,1.61,2,8,157000
719,7,1311,2418,2,1.61,3,14,341000
720,5,971,971,1,1.61,1,37,128500
721,8,1742,1742,2,1.61,2,21,275000
722,6,848,848,1,1.61,2,6,143000
723,4,864,864,1,1.61,2,39,124500
724,4,941,1470,2,1.61,1,36,135000
725,9,1698,1698,2,3.14,3,1,320000
726,4,864,864,1,1.61,2,39,120500
727,6,880,1680,2,1.61,2,2,222000
728,7,1232,1232,2,1.61,2,2,194500
729,5,1584,1776,2,1.61,3,51,110000
730,4,780,1208,1,1.61,2,59,103000
731,8,1595,1616,2,1.61,2,14,236500
732,7,868,1146,2,1.61,2,4,187500
733,7,1153,2031,2,1.61,2,9,222500
734,5,864,1144,1,1.61,1,26,131400
735,5,948,948,1,1.61,1,39,108000
736,7,880,1768,1,1.61,2,36,163000
737,3,0,1040,2,1.61,2,56,93500
738,8,893,1801,2,1.61,3,1,239900
739,5,1200,1200,3,1.61,0,21,179000
740,7,864,1728,2,1.61,2,5,190000
741,5,264,1432,2,1.61,2,5,132000
742,6,912,912,1,1.61,1,12,142000
743,7,1349,1349,2,1.61,2,6,179000
744,5,520,1464,2,1.61,2,10,175000
745,8,1337,1337,2,1.61,2,15,180000
746,8,1142,2715,3,1.61,2,12,299800
747,7,952,2256,2,1.61,2,9,236000
748,7,1240,2640,1,1.61,4,6,265979
749,7,1720,1720,2,1.61,2,14,260400
750,4,0,1529,2,1.61,1,59,98000
751,4,576,1140,1,1.61,0,6,96500
752,7,660,1320,2,1.61,2,4,162000
753,6,1479,1494,2,1.61,2,9,217000
754,8,1030,2098,2,3.14,3,1,275500
755,6,1026,1026,1,1.61,2,4,156000
756,6,729,1471,2,1.61,2,10,172500
757,8,866,1768,2,1.61,2,2,212000
758,6,672,1386,2,1.61,2,32,158900
759,7,744,1501,2,1.61,2,9,179400
760,8,1318,2531,2,1.61,3,12,290000
761,6,864,864,1,1.61,1,50,127500
762,5,1145,1301,1,1.0,2,59,100000
763,7,756,1547,2,1.61,2,1,215200
764,8,1252,2365,2,1.61,3,10,337000
765,8,1494,1494,1,3.14,2,10,270000
766,9,1498,1506,2,3.14,2,0,264132
767,7,980,1714,2,1.61,2,22,196500
768,6,983,1750,2,1.61,1,23,160000
769,7,1860,1836,2,1.61,2,1,216837
771,5,858,858,1,1.61,2,27,134900
772,4,836,1220,1,1.61,2,55,102000
773,6,1029,1117,1,1.61,2,34,107000
774,5,912,912,1,1.61,1,49,114500
775,8,1935,1973,2,1.61,3,1,395000
776,6,1204,1204,2,1.61,2,11,162000
777,7,1614,1614,2,1.61,3,0,221500
778,5,864,894,1,1.61,2,32,142500
779,5,0,2020,2,1.61,2,30,144000
780,6,975,1004,1,1.61,2,29,135000
781,7,1237,1253,2,1.61,2,11,176000
782,6,761,1603,2,1.61,2,14,175900
783,7,1413,1430,2,1.61,2,7,187100
784,5,1097,1110,1,1.61,2,31,165500
785,6,742,1484,2,1.61,0,7,128000
786,6,1372,1342,2,1.61,2,42,161500
787,5,686,1652,2,1.61,1,60,139000
788,7,956,2084,2,1.61,2,6,233000
789,4,901,901,1,1.61,1,8,107900
790,6,832,2087,2,1.61,2,0,187500
791,7,1145,1145,2,1.61,2,3,160200
792,6,1029,1062,1,1.61,2,31,146800
793,7,1117,2013,2,1.61,2,10,269790
794,8,1496,1496,2,1.61,2,0,225000
795,7,712,1895,2,1.61,2,12,194500
796,6,650,1564,2,1.61,2,29,171000
797,6,660,1285,1,1.61,2,30,143500
798,5,773,773,1,1.61,1,55,110000
799,9,1926,3140,3,3.14,3,0,485000
800,5,731,1768,1,1.61,1,57,175000
801,6,616,1688,2,1.61,2,11,200000
802,4,1196,1196,1,1.61,2,17,109900
803,7,728,1456,2,1.61,2,3,189000
804,9,1734,2822,3,3.14,3,0,582933
805,5,936,1128,1,1.61,1,52,118000
806,7,1417,1428,2,3.14,2,0,227680
807,5,980,980,2,1.61,1,39,135500
808,5,1324,1576,1,1.61,2,5,223500
809,5,1024,1086,1,1.61,2,40,159950
810,5,849,2138,2,1.61,2,44,106000
811,6,1040,1309,1,1.61,2,7,181000
812,6,848,848,1,1.61,2,4,144500
813,5,540,1044,1,1.0,2,58,55993
814,6,1442,1442,1,1.61,1,49,157900
815,5,686,1250,1,1.0,1,56,116000
816,7,1649,1661,2,1.61,2,12,224900
817,5,1008,1008,1,1.61,1,52,137000
818,8,1568,1689,2,1.61,3,6,271000
819,6,1010,1052,1,1.61,2,39,155000
820,7,1358,1358,2,1.61,2,0,224000
821,7,798,1640,2,1.61,2,5,183000
822,4,936,936,1,1.61,2,56,93000
823,7,847,1733,2,1.61,2,4,225000
824,6,778,1489,2,1.61,1,59,139500
825,8,1489,1489,2,1.61,2,0,232600
826,10,2078,2084,2,3.14,3,0,385000
827,5,784,784,1,1.61,0,58,109500
828,7,1454,1434,2,1.61,2,8,189000
830,7,600,1223,2,1.61,2,1,147400
831,6,1392,1392,1,1.61,2,51,166000
832,7,600,1200,2,1.61,2,1,151000
833,7,941,1829,2,1.61,2,7,237000
834,6,1516,1516,1,1.61,2,45,167000
835,5,1144,1144,1,1.61,2,47,139950
836,4,1067,1067,2,1.61,2,15,128000
837,5,1559,1559,1,1.61,2,34,153500
838,6,483,987,1,1.61,1,35,100000
839,5,1099,1099,1,1.61,1,2,144000
840,5,768,1200,1,1.61,1,13,130500
841,6,672,1482,2,1.0,1,58,140000
842,5,650,1539,2,1.61,2,6,157500
843,6,1127,1165,1,1.61,2,42,174900
844,5,1800,1800,2,1.61,0,46,141000
845,5,876,1416,1,1.61,3,58,153900
846,5,1390,1701,2,1.61,2,26,171000
847,7,740,1775,2,1.61,2,16,213000
848,5,864,864,1,1.61,1,37,133500
850,6,528,1855,2,1.61,2,13,187000
851,6,848,848,1,1.61,2,4,131500
852,8,1273,1456,2,1.61,2,3,215000
853,7,918,1646,2,1.61,1,57,164000
854,6,1127,1445,1,1.61,2,45,158000
855,5,1763,1779,1,1.61,2,32,170000
856,5,1040,1040,1,1.61,1,0,127000
857,6,940,1026,1,1.61,2,30,147000
858,6,702,1481,2,1.61,2,14,174000
859,7,1090,1370,2,1.61,2,33,152000
860,6,1054,2654,2,1.61,2,22,250000
861,7,912,1426,1,1.61,1,9,189950
862,5,1039,1039,1,1.61,2,45,131500
863,6,1040,1097,2,1.61,2,25,152000
864,5,1148,1148,1,1.61,1,50,132500
865,7,1372,1372,2,1.61,2,0,250580
866,5,1002,1002,1,1.61,2,39,148500
867,8,1638,1646,2,1.61,3,0,248900
868,4,1040,1120,1,1.0,2,46,129000
869,5,0,2320,2,1.61,2,56,169000
870,7,1050,1949,2,1.61,2,16,236000
871,5,894,894,1,1.61,1,47,109500
872,6,804,1682,2,1.61,2,12,200500
873,5,105,910,1,1.61,2,12,116000
874,5,832,1268,1,1.61,1,59,133000
875,5,676,1131,1,1.61,1,59,66500
876,8,1184,2610,2,3.14,2,0,303477
878,9,1462,2224,2,3.14,3,4,350000
879,5,1109,1155,1,1.61,2,15,148000
880,5,864,864,1,1.61,1,4,136500
881,5,1090,1090,1,1.61,2,1,157000
882,7,1156,1717,2,1.61,2,16,187500
883,6,808,1593,2,1.61,2,16,178000
884,4,795,2230,1,1.61,1,56,118500
885,5,892,892,1,1.61,1,42,100000
886,9,1698,1709,2,1.61,2,8,328900
887,5,1626,1712,2,1.61,2,1,145000
888,5,816,1393,1,1.61,1,53,135500
889,8,2217,2217,2,1.61,2,37,268000
890,6,1505,1505,1,1.61,2,56,149500
891,5,672,924,1,1.61,2,1,122900
892,6,918,1683,2,1.61,2,31,172500
893,6,1059,1068,1,1.61,1,3,154500
894,5,1383,1383,1,1.61,1,54,165000
895,5,0,1535,2,1.61,2,30,118858
896,6,780,1796,1,1.61,2,45,140000
897,4,951,951,1,1.61,1,56,106500
898,5,0,2240,2,1.61,2,30,142953
899,9,2330,2364,2,3.14,3,0,611657
900,5,912,1236,1,1.61,1,12,135000
901,4,858,858,1,1.61,1,36,110000
902,5,992,1306,1,1.61,1,9,153000
903,7,783,1509,2,1.61,2,3,180000
904,7,1670,1670,2,1.61,3,0,240000
905,5,876,902,1,1.61,1,40,125500
906,5,1056,1063,1,1.61,1,56,128000
907,8,1623,1636,2,1.61,3,1,255000
908,7,1017,2057,1,1.61,1,19,250000
909,5,864,902,1,1.61,2,23,131000
910,6,742,1484,2,1.61,2,4,174000
911,5,1105,2274,2,1.61,2,50,154300
912,5,1268,1268,1,1.61,1,20,143500
913,5,768,1015,1,1.61,1,56,88000
914,5,1001,2002,2,1.61,3,57,145000
915,6,612,1224,2,1.61,2,0,173733
916,4,546,1092,1,1.61,1,37,75000
917,2,480,480,0,1.61,1,56,35311
918,4,1134,1229,1,1.61,1,53,135000
919,7,1104,2127,2,1.61,3,16,238000
920,6,1184,1414,1,1.61,2,6,176500
921,6,928,1721,2,1.61,2,13,201000
922,5,1272,2200,2,1.61,0,5,145900
923,6,1316,1316,2,1.61,2,0,169990
924,6,1604,1617,2,1.61,2,14,193000
925,6,1686,1686,2,1.61,2,26,207500
926,5,1126,1126,2,3.14,2,31,175000
927,8,1181,2374,2,3.14,3,3,285000
928,7,832,1978,2,1.61,2,40,176000
929,8,1753,1788,2,3.14,2,8,236500
930,7,964,2236,2,1.61,2,9,222000
931,8,1466,1466,2,1.61,3,2,201000
932,5,925,925,1,1.61,1,44,117500
933,9,1905,1905,2,3.14,3,1,320000
934,7,1500,1500,2,1.61,2,5,190000
936,4,600,747,1,1.61,2,53,79900
937,7,1176,1200,2,1.61,2,6,184900
938,7,1113,1971,2,1.61,2,4,253000
939,7,1391,1962,2,1.61,3,0,239799
940,7,1032,2403,2,1.61,1,60,244400
941,6,1728,1728,2,1.61,2,30,150900
942,7,992,2060,2,1.61,2,10,214000
943,4,1440,1440,2,1.61,0,30,150000
945,6,819,1344,1,1.61,2,51,137500
946,5,1088,1869,1,1.61,2,13,124900
947,5,1144,1144,1,1.61,1,47,143000
948,8,1616,1629,2,1.61,3,4,270000
949,7,936,1776,2,1.61,2,4,192500
950,6,1161,1381,1,1.61,2,4,197500
951,5,864,864,1,1.61,2,5,129000
952,5,828,965,1,1.61,1,41,119900
953,5,768,768,1,1.61,1,6,133900
954,5,784,1968,2,1.61,2,39,172000
955,6,945,980,2,1.61,0,31,127500
956,6,979,1958,2,1.61,2,57,145000
957,6,561,1229,1,1.61,2,29,124000
958,5,1057,1057,1,1.61,2,45,132000
959,7,1337,1337,2,1.61,2,4,185000
960,7,696,1416,2,1.61,2,11,155000
961,5,858,858,1,1.61,0,2,116500
962,6,1330,2872,2,1.61,2,13,272000
963,6,804,1548,2,1.61,2,31,155000
964,9,1800,1800,2,3.14,2,2,239000
965,7,817,1894,2,1.61,2,7,214900
966,6,783,1484,2,1.61,2,0,178900
967,5,728,1308,1,1.61,1,59,160000
968,5,1098,1098,1,1.61,1,53,135000
969,3,600,968,1,1.61,0,59,37900
970,6,588,1095,1,1.61,1,48,140000
971,4,720,1192,1,1.61,0,56,135000
972,7,764,1626,2,1.61,2,5,173000
973,6,918,918,2,1.61,1,31,99500
974,7,1428,1428,2,1.61,2,0,182000
975,7,728,2019,1,1.61,2,16,167500
976,7,673,1382,2,1.61,2,6,165000
977,4,440,869,1,1.0,0,48,85500
978,7,1241,1241,1,1.61,2,0,199900
979,4,894,894,1,1.61,2,53,110000
980,5,1121,1121,1,1.61,2,46,139000
981,7,944,999,1,3.14,2,1,178400
982,8,1225,2612,2,1.61,3,10,336000
983,7,1266,1266,2,1.61,2,1,159895
984,8,1128,2290,2,1.61,2,6,255900
985,5,0,1734,2,1.61,2,32,126000
986,5,1164,1164,1,1.61,1,58,125000
987,6,485,1635,1,1.61,1,3,117000
988,9,1930,1940,2,3.14,3,0,395192
989,6,848,2030,2,1.61,2,31,195000
990,7,770,1576,2,1.61,2,0,197000
991,8,1396,2392,2,1.61,3,8,348000
992,8,916,1742,1,1.61,2,23,168000
993,6,822,1851,2,1.61,2,14,187000
994,6,750,1500,2,1.61,2,0,173900
995,10,1700,1718,2,3.14,3,2,337500
996,4,747,1230,1,1.61,1,56,121600
997,5,1050,1050,1,1.61,1,45,136500
998,6,1442,1442,2,1.61,2,39,185000
999,3,1007,1077,1,1.61,1,56,91000
1000,7,1187,1208,2,1.61,2,4,206000
1001,3,0,944,1,1.0,2,57,82000
1002,5,691,691,1,3.14,1,57,86000
1003,8,1574,1574,2,1.61,3,2,232000
1004,5,1680,1680,2,1.61,2,31,136905
1005,7,1346,1504,2,1.61,2,3,181000
1006,5,985,985,2,1.61,1,31,149900
1007,6,1657,1657,2,1.61,2,37,163500
1008,4,546,1092,1,1.61,1,39,88000
1009,7,1710,1710,2,1.61,2,4,240000
1010,5,1008,1522,2,1.61,0,56,102000
1011,5,720,1271,2,1.61,1,58,135000
1012,5,0,1664,2,1.61,0,45,100000
1013,6,602,1502,1,1.61,1,11,165000
1014,5,1022,1022,1,1.61,1,3,85000
1015,6,1082,1082,1,1.61,1,57,119200
1016,8,810,1665,2,1.61,2,8,227000
1017,7,1504,1504,2,1.61,2,13,203000
1018,8,1220,1360,1,1.61,2,25,187500
1019,7,384,1472,2,1.61,2,15,160000
1020,7,1362,1506,2,1.61,2,1,213490
1021,4,1132,1132,1,1.61,2,3,176000
1022,7,1199,1220,2,1.61,2,0,194000
1023,5,912,1248,1,1.61,1,57,87000
1024,7,1346,1504,2,1.61,2,2,191000
1025,8,1565,2898,2,1.61,2,32,287000
1026,5,882,882,1,1.61,2,35,112500
1027,5,1268,1264,1,1.61,2,50,167500
1028,8,1638,1646,2,1.61,3,0,293077
1029,5,768,1376,1,1.61,1,57,105000
1030,6,672,1218,1,1.61,1,34,118000
1031,5,686,1928,2,1.61,0,11,160000
1032,7,824,3082,2,1.61,2,39,197000
1033,8,1338,2520,2,1.61,3,13,310000
1034,7,1654,1654,2,1.61,3,4,230000
1035,5,920,954,1,1.0,1,57,119750
1036,4,0,845,1,1.61,1,52,84000
1037,9,1620,1620,2,3.14,3,1,315500
1038,8,1055,2263,2,1.61,2,6,287000
1039,4,546,1344,1,1.61,0,1,97000
1040,4,630,630,1,1.61,1,39,80000
1041,5,1134,1803,2,1.61,2,6,155000
1042,6,800,1632,1,1.61,2,8,173000
1043,6,1306,1306,2,1.61,2,4,196000
1044,7,1475,2329,2,1.61,2,18,262280
1045,8,2524,2524,2,1.61,2,28,278000
1046,3,0,1733,2,1.61,2,54,139600
1047,9,1992,2868,3,3.14,3,0,556581
1048,5,990,990,1,1.61,2,13,145000
1049,5,0,1771,1,1.61,2,3,115000
1050,4,0,930,1,1.61,1,4,84900
1051,7,1302,1302,2,1.61,2,0,176485
1052,7,1316,1316,2,1.61,2,0,200141
1053,6,816,1977,1,1.61,2,29,165000
1054,5,1216,1526,1,1.61,1,8,144500
1055,8,1065,1989,2,1.61,2,4,255000
1056,6,1193,1523,2,1.61,2,32,180000
1057,7,1364,1364,2,1.61,2,1,185850
1059,9,1104,2184,2,3.14,3,1,335000
1060,6,854,1991,1,1.61,2,57,220000
1061,8,1338,1338,2,1.61,2,9,213500
1062,3,894,894,1,1.61,3,58,81000
1063,5,662,2337,2,1.61,2,57,90000
1064,6,1103,1103,1,1.61,2,26,110500
1065,5,1154,1154,1,1.61,2,43,154000
1066,7,1306,2260,2,1.61,2,13,328000
1067,6,799,1571,2,1.61,2,15,178000
1068,6,780,1611,1,1.61,2,44,167900
1069,6,942,2521,2,1.61,2,33,151400
1070,5,845,893,1,1.61,2,4,135000
1071,5,1048,1048,1,1.61,1,51,135000
1072,6,727,1556,1,1.61,2,41,154000
1073,5,810,1456,1,1.61,1,56,91500
1074,6,690,1426,1,1.61,2,32,159500
1075,7,1240,1240,2,1.61,3,1,194000
1076,7,800,1740,1,1.61,1,23,219500
1077,5,796,1466,2,1.61,2,17,170000
1078,5,1096,1096,1,1.61,1,37,138800
1079,6,848,848,1,1.61,2,2,155900
1080,5,990,990,1,1.61,1,13,126000
1081,6,1258,1258,2,1.61,2,4,145000
1082,5,1040,1040,1,1.61,1,47,133000
1083,7,1459,1459,2,1.61,2,5,192000
1084,6,1251,1251,1,1.61,1,42,160000
1085,6,691,1498,2,1.61,2,10,187500
1086,6,936,996,1,1.61,2,18,147000
1087,4,546,1092,1,1.61,1,37,83500
1088,8,1082,1953,2,1.61,3,3,252000
1089,7,970,1709,2,1.61,2,2,137500
1090,8,1247,1247,1,1.61,2,1,197000
1091,3,0,1040,2,1.61,2,59,92900
1092,7,600,1252,2,1.61,2,8,160000
1093,6,1181,1694,2,1.61,2,58,136500
1094,5,864,1200,1,1.61,2,8,146000
1095,5,936,936,1,1.61,1,10,129000
1096,6,1314,1314,2,1.61,2,1,176432
1097,6,684,1355,1,1.61,0,1,127000
1098,8,1074,1088,1,1.61,2,21,170000
1099,4,672,1324,1,1.61,1,59,128000
1100,7,1271,1601,2,1.61,2,31,157000
1101,2,290,438,1,1.0,1,59,60000
1102,5,950,950,1,1.61,1,36,119500
1103,5,1010,1134,1,1.61,1,5,135000
1104,6,655,1194,1,1.61,2,47,159500
1105,5,630,1302,2,1.61,2,37,106000
1106,8,1463,2622,2,1.61,2,15,325000
1107,7,910,1442,2,1.61,2,16,179900
1108,7,868,2021,2,1.61,2,0,274725
1109,6,924,1690,2,1.61,2,7,181000
1110,8,1836,1836,2,1.61,3,4,280000
1111,6,773,1658,2,1.61,2,12,188000
1112,7,803,1964,2,1.61,2,32,205000
1113,5,816,816,1,1.61,1,49,129900
1114,5,1008,1008,1,1.61,1,1,134500
1115,5,833,833,1,1.61,1,6,117000
1116,8,1734,1734,2,3.14,3,0,318000
1117,8,408,1419,2,1.61,2,7,184100
1118,5,894,894,1,1.61,2,5,130000
1119,5,533,1601,1,1.61,1,21,140000
1120,5,1040,1040,1,1.61,1,47,133700
1121,6,1012,1012,1,1.61,1,57,118400
1122,7,1552,1552,2,1.61,3,0,212900
1123,4,672,960,1,1.61,1,53,112000
1124,5,698,698,1,1.61,0,1,118000
1125,7,384,1482,2,1.61,2,15,163900
1126,4,1005,1005,1,1.0,2,54,115000
1127,7,1373,1555,2,1.61,3,2,174000
1128,7,1530,1530,2,1.61,3,3,259000
1129,7,847,1959,2,1.61,2,2,215000
1130,5,936,936,1,1.61,2,27,140000
1131,4,1122,1981,2,1.61,2,59,135000
1132,5,974,974,1,1.61,0,15,93500
1133,6,1008,2210,2,1.0,1,57,117500
1134,8,1128,2020,2,1.61,2,14,239500
1135,6,916,1600,2,1.61,2,10,169000
1136,6,960,986,1,1.61,1,57,102000
1137,6,1032,1252,1,1.61,1,58,119000
1138,5,780,1020,1,1.61,0,14,94000
1139,6,1567,1567,2,1.61,2,32,196000
1140,5,915,1167,1,1.61,2,57,144000
1141,5,952,952,1,1.61,2,57,139000
1142,5,780,1868,2,1.61,2,33,197500
1143,8,1466,2828,3,1.61,3,0,424870
1144,5,1006,1006,1,1.61,0,49,80000
1145,4,672,924,1,1.0,1,60,80000
1146,5,1042,1576,1,1.61,1,56,149000
1147,6,1298,1298,2,1.61,2,21,180000
1148,7,704,1564,1,1.0,1,59,174500
1149,7,572,1111,1,1.61,1,58,116900
1150,7,650,1482,1,1.61,2,21,143000
1151,6,932,932,1,1.61,1,57,124000
1152,5,1466,1466,1,1.0,2,47,149900
1153,6,1073,1811,1,3.14,2,2,230000
1154,6,816,816,1,1.61,1,1,120500
1155,7,864,1820,1,1.61,2,20,201800
1156,5,1437,1437,2,1.61,2,3,218000
1157,5,1219,1265,2,1.61,2,9,179900
1158,7,1314,1314,2,1.61,2,1,230000
1159,8,1580,1580,2,1.61,3,0,235128
1160,6,901,1876,2,1.61,2,34,185000
1161,6,855,1456,2,1.61,2,32,146000
1162,6,1296,1640,1,1.61,2,2,224000
1163,5,894,894,1,1.61,2,39,129000
1164,4,1198,1258,0,1.61,2,39,108959
1165,5,1360,1432,1,1.61,2,29,194000
1166,7,1502,1502,2,1.61,2,0,233170
1167,8,1694,1694,2,1.61,3,2,245350
1168,6,959,1671,2,1.61,2,6,173000
1169,6,1127,2108,2,1.61,2,22,235000
1171,6,1096,1118,1,1.61,1,31,171000
1172,6,1261,1261,1,1.61,2,50,163000
1173,7,625,1250,2,1.61,2,1,171900
1174,5,1598,3086,3,3.14,0,13,200500
1175,6,952,2345,2,1.61,2,56,239000
1176,8,1683,2872,2,1.61,2,7,285000
1177,5,876,923,1,1.61,1,23,119500
1178,6,818,1224,1,1.61,1,5,115000
1179,5,731,1343,1,1.61,1,59,154900
1180,5,0,1124,1,1.61,0,52,93000
1181,7,1216,2514,2,1.61,2,15,250000
1182,8,1600,1652,2,1.61,2,0,392500
1183,10,2396,4476,3,3.14,3,11,745000
1184,5,1120,1130,1,1.61,2,56,120000
1186,5,784,1221,1,1.61,1,56,104900
1187,3,978,1699,2,1.61,2,39,95000
1188,8,1624,1624,2,1.61,3,11,262000
1189,7,831,1660,2,1.61,2,7,195000
1190,7,994,1804,2,1.61,2,11,189000
1192,8,776,1441,2,1.61,2,7,174000
1193,5,702,1472,1,1.61,1,13,125000
1194,6,1224,1224,2,1.61,2,10,165000
1195,6,663,1352,1,1.61,1,41,158000
1196,6,728,1456,2,1.61,2,3,176000
1197,7,879,1863,2,1.61,3,0,219210
1198,7,815,1690,1,1.61,1,56,144000
1199,7,1212,1212,2,1.61,2,8,178000
1200,4,1051,1382,1,1.61,2,27,148000
1201,4,864,864,1,1.61,1,36,116050
1202,7,866,1779,2,1.61,2,11,197900
1203,5,884,1348,1,1.61,1,12,117000
1204,7,1630,1630,2,1.61,2,8,213000
1205,5,1056,1074,1,1.61,2,31,153500
1206,7,2158,2196,2,1.61,3,18,271900
1207,4,1056,1056,1,1.61,1,40,107000
1208,6,1682,1700,2,1.61,2,3,200000
1209,5,931,1283,1,1.61,2,28,140000
1210,8,1660,1660,2,1.61,2,0,290000
1211,6,1055,1845,2,1.61,2,18,189000
1212,8,559,1752,2,1.61,2,5,164000
1213,4,672,672,1,1.61,1,59,113000
1214,4,648,960,0,1.61,1,5,145000
1215,5,925,999,1,1.61,1,44,134500
1216,5,894,894,1,1.61,1,41,125000
1217,6,0,1902,2,1.61,2,32,112000
1218,8,1300,1314,2,1.61,2,0,229456
1219,4,0,912,1,1.61,0,56,80500
1220,6,672,1218,1,1.61,0,35,91500
1221,5,912,912,1,1.61,1,42,115000
1222,5,952,1211,1,1.61,1,40,134000
1223,6,1040,1846,2,1.61,1,57,143000
1224,5,2136,2136,2,1.61,2,55,137900
1225,7,788,1490,2,1.61,2,3,184000
1226,6,588,1138,1,1.61,1,49,145000
1227,6,894,1933,2,1.61,3,1,214000
1228,5,912,912,1,1.61,2,0,147000
1229,9,1702,1702,1,3.14,3,0,367294
1230,5,1075,1507,2,1.61,1,48,127000
1231,5,1361,2620,2,1.61,2,30,190000
1232,5,1106,1190,1,1.61,2,44,132500
1233,4,0,1224,2,1.61,2,45,101800
1234,5,1188,1188,1,1.61,2,51,142000
1235,5,940,1964,1,1.61,0,58,130000
1236,5,747,1784,1,1.61,1,56,138887
1237,7,764,1626,2,1.61,2,7,175500
1238,7,847,1948,2,1.61,2,1,195000
1239,6,1141,1141,1,1.61,2,1,142500
1240,8,1476,1484,2,3.14,2,1,265900
1241,7,884,1768,2,1.61,2,5,224900
1242,7,1689,1689,2,1.61,3,0,248328
1243,7,1053,1173,2,1.61,2,36,170000
1244,10,2076,2076,2,3.14,3,0,465000
1245,8,792,1517,1,1.61,2,56,230000
1246,6,585,1868,3,1.61,2,4,178000
1247,7,756,1553,2,1.61,2,0,186500
1248,6,1012,1034,1,1.61,3,34,169900
1249,6,735,2058,1,1.61,2,58,129500
1250,5,876,988,1,1.61,1,57,119000
1251,7,2110,2110,2,3.14,2,42,244000
1252,7,1405,1405,2,1.61,2,3,171750
1253,5,864,874,1,1.61,1,41,130000
1254,7,1192,2167,2,1.61,2,4,294000
1255,7,746,1656,2,1.61,2,4,165400
1256,6,884,1367,1,1.61,1,57,127500
1257,8,1986,1987,2,1.61,2,14,301500
1258,5,864,864,1,1.61,0,59,99900
1259,7,856,1166,2,1.61,2,3,190000
1260,6,1054,1054,1,1.61,2,39,151000
1261,6,841,1675,2,1.61,2,10,181000
